user_id,arrays_solved,graphs_solved,dp_solved,trees_solved,strings_solved,math_solved,avg_attempts,acceptance_rate,weak_topic
1,7,0,17,15,14,4,3.95,0.71,math
2,4,13,2,1,5,6,1.93,0.65,arrays
3,45,0,34,26,14,14,3.36,0.81,graphs
4,44,0,21,17,9,6,4.83,0.45,graphs
5,6,11,22,3,2,23,2.84,0.29,trees
6,1,9,40,23,36,6,3.82,0.23,arrays
7,5,27,1,6,24,8,2.81,0.83,dp
8,22,6,1,4,38,20,1.68,0.75,dp
9,24,8,40,0,14,21,2.3,0.78,trees
10,2,5,20,25,17,2,1.84,0.91,graphs
11,13,20,5,25,41,14,1.57,0.3,dp
12,34,8,37,27,1,12,2.45,0.95,strings
13,31,2,3,7,4,20,1.64,0.71,strings
14,0,12,38,29,33,8,4.88,0.85,arrays
15,46,3,34,17,41,3,1.45,0.53,math
16,2,28,16,32,11,16,4.65,0.85,arrays
17,32,19,12,9,23,4,1.65,0.92,math
18,2,10,31,1,7,11,4.51,0.82,arrays
19,3,4,36,5,5,23,2.94,0.25,graphs
20,8,1,30,35,10,8,3.11,0.65,graphs
21,48,23,12,19,4,21,3.6,0.53,strings
22,7,7,14,1,21,0,3.35,0.37,trees
23,0,22,40,3,14,2,4.62,0.84,arrays
24,15,8,31,13,4,4,3.89,0.86,strings
25,15,25,30,3,12,3,1.39,0.52,trees
26,29,27,3,0,3,12,3.91,0.8,trees
27,12,0,34,28,8,13,1.73,0.55,graphs
28,35,3,3,1,0,2,4.71,0.84,trees
29,31,15,13,2,3,5,2.52,0.94,trees
30,18,13,35,4,9,6,2.19,0.93,trees
31,34,1,20,3,3,4,2.91,0.89,math
32,3,1,32,5,11,2,3.38,0.71,graphs
33,7,30,36,5,37,19,1.16,0.26,trees
34,36,16,20,16,3,21,3.86,0.38,strings
35,42,4,19,29,20,24,4.74,0.21,graphs
36,6,2,34,13,0,8,1.53,0.46,strings
37,23,5,10,28,34,22,2.21,0.94,graphs
38,0,21,35,19,0,3,4.76,0.3,strings
39,5,17,9,17,18,19,1.84,0.46,arrays
40,16,16,31,16,3,0,3.54,0.82,math
41,4,24,8,16,10,23,2.77,0.73,arrays
42,1,2,9,34,2,11,3.33,0.31,arrays
43,4,11,2,22,13,21,2.0,0.28,arrays
44,39,23,9,0,10,25,4.24,0.86,trees
45,47,5,21,26,42,23,4.24,0.4,graphs
46,2,27,2,30,14,6,4.27,0.55,arrays
47,14,2,12,25,21,8,4.46,0.93,graphs
48,41,16,1,34,21,0,1.46,0.93,dp
49,16,1,6,27,4,23,4.15,0.53,strings
50,4,28,36,12,16,1,3.84,0.2,arrays
51,46,30,12,23,27,4,4.8,0.89,math
52,42,27,5,19,32,9,3.67,0.44,dp
53,35,4,4,26,42,12,3.71,0.88,dp
54,19,12,35,0,4,9,1.84,0.79,strings
55,20,14,28,28,43,5,3.04,0.8,math
56,42,1,18,32,42,20,3.48,0.27,graphs
57,19,7,12,9,1,0,1.98,0.56,math
58,26,28,40,1,45,22,2.54,0.5,trees
59,44,0,6,27,14,3,4.22,0.72,math
60,4,7,7,29,8,25,2.86,0.6,arrays
61,20,30,28,32,3,17,2.78,0.32,strings
62,16,24,15,0,33,15,3.51,0.41,trees
63,18,7,17,21,20,3,1.32,0.31,math
64,9,22,13,4,26,0,2.32,0.55,math
65,26,2,37,1,36,12,2.91,0.91,graphs
66,26,17,34,3,31,7,2.09,0.56,trees
67,42,21,3,10,29,4,4.92,0.6,dp
68,36,21,1,5,0,13,1.54,0.55,strings
69,24,10,3,29,20,10,4.04,0.48,dp
70,5,15,5,34,3,11,1.9,0.25,dp
71,5,0,15,12,1,19,1.61,0.29,arrays
72,4,30,13,29,44,8,4.07,0.33,arrays
73,45,3,10,19,6,5,1.1,0.43,math
74,25,30,12,5,37,22,4.32,0.38,trees
